"product_id","product_name","category","price","stock_quantity","supplier_name","supplier_city","supply_date"
20,"LED Bulbs","Home Appliances",250,500,"Havells India","Ahmedabad","2022-10-15"
18,"Electric Iron","Home Appliances",1500,200,"Bajaj Electricals","Kolkata","2023-05-25"
16,"Electric Kettle","Kitchen",2000,160,"Philips India","Chennai","2022-08-25"
7,"Mixer Grinder","Kitchen",3000,150,"Preethi Appliances","Pune","2023-06-18"
11,"Bluetooth Speaker","Electronics",3000,80,"Bose India","Hyderabad","2023-02-27"
19,"Induction Cooktop","Kitchen",3500,140,"Pigeon India","Bengaluru","2023-01-20"
12,"Fitness Tracker","Wearable Tech",5000,200,"Fitbit India","Bengaluru","2023-03-17"
10,"Gas Stove","Kitchen",5000,100,"Butterfly Appliances","Jaipur","2023-07-12"
17,"Vacuum Cleaner","Home Appliances",7000,45,"Eureka Forbes","Hyderabad","2023-07-01"
9,"Water Purifier","Home Appliances",8000,70,"Kent RO Systems","Lucknow","2022-11-14"
5,"Microwave Oven","Kitchen",10000,60,"Samsung India","Kolkata","2023-04-01"
13,"Smartwatch","Wearable Tech",12000,180,"Xiaomi India","Delhi","2023-06-05"
2,"Smartphone","Electronics",15000,120,"Bajaj Tech","Bengaluru","2023-03-15"
4,"Washing Machine","Home Appliances",25000,20,"LG Electronics","Chennai","2023-02-22"
3,"Refrigerator","Home Appliances",30000,30,"Whirlpool India","Delhi","2023-05-10"
15,"Gaming Console","Electronics",35000,50,"Microsoft India","Pune","2023-04-10"
6,"Air Conditioner","Electronics",35000,25,"Voltas Ltd","Ahmedabad","2022-12-25"
8,"Television","Electronics",40000,40,"Sony India","Mumbai","2023-01-30"
1,"Laptop","Electronics",45000,50,"Tata Electronics","Mumbai","2023-01-05"
14,"DSLR Camera","Electronics",55000,30,"Nikon India","Mumbai","2022-09-08"
